12
1 2 3
1 3 5
1 4 7
1 5 9
1 6 3
1 7 9
1 8 0
1 9 4
1 10 34
1 11 23
1 12 64
2 1 5
2 3 5
2 4 7
2 5 3
2 6 3
2 7 3
2 8 0
2 9 3
2 10 314
2 11 24
2 12 645
3 2 3
3 1 5
3 4 7
3 5 9
3 6 3
3 7 9
3 8 0
3 9 4
3 10 34
3 11 23
3 12 64
4 2 3
4 3 5
4 1 7
4 5 9
4 6 3
4 7 9
4 8 0
4 9 4
4 10 34
4 11 23
4 12 64
5 2 3
5 3 5
5 4 7
5 1 9
5 6 3
5 7 9
5 8 0
5 9 4
5 10 34
5 11 23
5 12 64
6 2 3
6 3 5
6 4 7
6 5 9
6 1 3
6 7 9
6 8 0
6 9 4
6 10 34
6 11 23
6 12 64
7 2 3
7 3 5
7 4 7
7 5 9
7 6 3
7 1 9
7 8 0
7 9 4
7 10 34
7 11 23
7 12 64
8 2 3
8 3 5
8 4 7
8 5 9
8 6 3
8 7 9
8 1 0
8 9 4
8 10 34
8 11 23
8 12 64
9 2 3
9 3 5
9 4 7
9 5 9
9 6 3
9 7 9
9 8 0
9 1 4
9 10 34
9 11 23
9 12 64
10 2 3
10 3 5
10 4 7
10 5 9
10 6 3
10 7 9
10 8 0
10 9 4
10 1 34
10 11 23
10 12 64
11 2 3
11 3 5
11 4 7
11 5 9
11 6 3
11 7 9
11 8 0
11 9 4
11 10 34
11 1 23
11 12 64
12 2 3
12 3 5
12 4 7
12 5 9
12 6 3
12 7 9
12 8 0
12 9 4
12 10 34
12 11 23
12 1 64
